TxI_fixed,TxQ_fixed,RxI_fixed,RxQ_fixed
65536,-196608,6886,-191920
-196608,-65536,-238798,-63172
-196608,-196608,-175220,-152201
-65536,-65536,-111958,-72574
196608,65536,298498,45124
-65536,196608,-5612,186060
65536,65536,112696,23843
-65536,65536,-72517,44539
-65536,-196608,22807,-78111
65536,-65536,52818,-118781
65536,196608,63712,180351
65536,196608,75452,174002
65536,-65536,106480,-79956
-196608,-196608,-159451,-215932
196608,-196608,168889,-180317
196608,-196608,165513,-296379
65536,196608,102868,257116
196608,-196608,238335,-159703
196608,-196608,173660,-269117
196608,196608,104012,64230
196608,196608,184513,139606
65536,65536,101912,51379
-65536,196608,39792,347142
-65536,-65536,-135425,-33842
-65536,196608,-90422,91154
-196608,196608,-219326,156374
196608,-196608,275705,-199712
65536,65536,63498,80336
65536,-196608,12603,-273310
-196608,65536,-164014,57661
65536,-196608,41929,-238475
-65536,-65536,-136967,-129929
-196608,-196608,-248692,-181463
65536,-196608,166700,-151460
-196608,-65536,-174193,-16470
-196608,-65536,-190321,-32026
65536,196608,50957,167592
-65536,-196608,-48492,-154921
65536,-65536,81885,-47506
196608,-65536,213653,-57722
196608,196608,203308,160922
65536,65536,116222,36548
-65536,-65536,-64188,-61225
196608,-65536,139555,76806
196608,-196608,160879,-179034
65536,196608,-49920,160951
65536,-196608,183780,-245169
65536,65536,115869,36846
-196608,196608,-245034,323631
-196608,-196608,-213051,-219901
-196608,-65536,-233763,-12629
65536,-65536,155528,-87468
-65536,196608,-148371,211845
196608,-65536,203287,-19346
-196608,-196608,-202939,-229973
-65536,196608,-17298,159206
65536,-65536,59468,31242
-196608,-65536,-299182,-8095
65536,65536,50886,111664
-65536,65536,-122252,111466
-196608,196608,-191965,223420
-196608,65536,-112938,183253
-196608,-196608,-298086,-194046
-196608,-65536,-243293,-31859
-65536,-65536,-97780,-150182
-196608,-65536,-218872,-113664
196608,196608,239787,126552
196608,196608,186483,270937
65536,65536,89794,-83379
-196608,-65536,-233115,-89007
196608,-65536,210022,-240188
196608,-65536,241985,-114033
196608,-65536,153886,-94178
-65536,-65536,-19952,15257
-196608,-196608,-193553,-173469
-65536,-65536,-4544,-114141
-65536,-196608,-77287,-134420
196608,-65536,218850,-64496
196608,196608,194239,198800
65536,196608,59923,126444
-196608,-196608,-181502,-254365
-196608,-65536,-165291,-113672
196608,196608,123709,199319
196608,196608,280246,201152
-196608,-65536,-305100,24546
65536,-65536,25584,-43072
196608,196608,191108,38649
65536,-65536,89593,-50214
-65536,65536,26418,-19058
196608,-65536,88196,-121891
-65536,196608,-95155,149226
196608,196608,72529,157909
-65536,-196608,-63691,-276834
196608,65536,212458,77407
65536,196608,158343,114302
65536,65536,72574,86344
65536,-65536,126444,64968
-65536,196608,-31475,119053
65536,-196608,40144,-213206
-65536,196608,-147734,49390
196608,-196608,212652,-214165
-65536,65536,-152585,103032
196608,-196608,272170,-154566
-196608,-65536,-206063,-61023
-196608,-65536,-126882,-13657
-196608,-65536,-224624,83000
-65536,196608,-49851,296504
-196608,-65536,-184395,-96020
-196608,-65536,-199236,-150193
-196608,196608,-221849,172913
196608,65536,219504,10289
65536,-65536,11504,-39204
-65536,-65536,-136094,-134447
-196608,196608,-124102,192360
196608,65536,239031,114426
65536,65536,69380,59661
65536,65536,162680,10328
65536,196608,49915,265146
